# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed May 13 14:59:58 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471 0.00000 9.00000 0.0900000036 1.0816895926    0.090 -3.382  3.3668  5.193    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.45e-17      0.00 7.106e-01 2.746e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 13.224 15.273 18.198 13.783
0.01471 0.00000 9.00000 0.1000000015 1.1711064122    0.100 -3.221  3.3905  5.173    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.24e-17      0.00 7.106e-01 2.747e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.823 14.871 17.787 13.381
0.01471 0.00000 9.00000 0.1200000048 1.3193154741    0.120 -2.971  3.4245  5.138    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-16      0.00 7.105e-01 2.747e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.197 14.142 16.903 12.677
0.01471 0.00000 9.00000 0.1220560521 1.3327170758    0.122 -2.952  3.4266  5.135    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-16      0.00 7.105e-01 2.747e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.150 14.064 16.782 12.607
0.01471 0.00000 9.00000 0.1400000006 1.4384526719    0.140 -2.790  3.4443  5.103    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-16      0.00 7.104e-01 2.748e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.746 13.424 15.824 12.023
0.01471 0.00000 9.00000 0.1481855512 1.4809975641    0.148 -2.731  3.4500  5.091    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-16      0.00 7.104e-01 2.748e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.597 13.201 15.504 11.819
0.01471 0.00000 9.00000 0.1599999964 1.5372931554    0.160 -2.650  3.4578  5.075    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-16      0.00 7.103e-01 2.749e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.394 12.900 15.064 11.545
0.01471 0.00000 9.00000 0.2000000030 1.6938790862    0.200 -2.434  3.4765  5.031    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.16e-16      0.00 7.102e-01 2.750e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.856 12.146 14.019 10.854
0.01471 0.00000 9.00000 0.2500000000 1.8403257998    0.250 -2.232  3.4929  4.992    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-16      0.00 7.102e-01 2.751e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.351 11.466 13.109 10.233
0.01471 0.00000 9.00000 0.3139314055 1.9800002304    0.314 -2.030  3.5062  4.942    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-16      0.00 7.104e-01 2.748e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.845 10.842 12.341 9.653
